Id,Name,ComponentCode__c,Status__c,Category__c,ComponentDescription__c
a2I8H000000krUxUAI,019,019,Active,,MOTOR NON CRITICAL FAULT EAST LANE
a2I8H000000krVEUAY,050,050,Active,,ATO HALTED WEST LANE
a2I8H000000krVFUAY,053,053,Active,,POWER DISTRIBUTION FAULT WEST LANE
a2I8H000000krVGUAY,054,054,Active,,TENSION WEIGHT JACK NOT FULLY DOWN WEST LANE
a2I8H000000krVHUAY,055,055,Active,,EARTHQUAKE CRITICAL FAULT WEST LANE
a2I8H000000krVIUAY,056,056,Active,,EARTHQUAKE NON CRITICAL FAULT WEST LANE
a2I8H000000krVJUAY,057,057,Active,,FIRE TERMINAL 3 WEST LANE
a2I8H000000krVKUAY,058,058,Active,,FIRE CONCOURSE B WEST LANE
a2I8H000000krVMUAY,G22,G22,Active,Hoistway Equipment,HOISTWAY - RODS
a2I8H000000krVNUAY,G15,G15,Active,Hoistway Equipment,HOISTWAY - SHEAVES
a2I8H000000krVOUAY,G20,G20,Active,Hoistway Equipment,HOISTWAY - CWT SAFETY
a2I8H000000krVPUAY,G21,G21,Active,Hoistway Equipment,HOISTWAY - CWT SHEAVE
a2I8H000000krVQUAY,G23,G23,Active,Hoistway Equipment,HOISTWAY - SELECTOR TAPE (STATIONARY W/CAMS)
a2I8H000000krVRUAY,G24,G24,Active,,HOISTWAY - SHEAVE
a2I8H000000krVSUAY,F45,F45,Active,,HOISTWAY DOOR  - SEAL
a2I8H000000krVTUAY,F46,F46,Active,,HOISTWAY DOOR  - SCREW
a2I8H000000krVUUAY,F47,F47,Active,,HOISTWAY DOOR  - SPROCKET
a2I8H000000krVVUAY,G25,G25,Active,Hoistway Equipment,HOISTWAY - WEIGHTS
a2I8H000000krVWUAY,G26,G26,Active,Hoistway Equipment,HOISTWAY - WIRING
a2I8H000000krVXUAY,G27,G27,Active,,HOISTWAY - CAR-TO-CWT ROPES
a2I8H000000krVYUAY,G28,G28,Active,,HOISTWAY - CAR-TO-DRUM ROPES
a2I8H000000krVZUAY,G29,G29,Active,,HOISTWAY - CWT-TO-DRUM ROPES
a2I8H000000krVaUAI,G30,G30,Active,Hoistway Equipment,HOISTWAY - HAND ROPE
a2I8H000000krVdUAI,F99,F99,Active,,HOISTWAY DOORS - OTHER
a2I8H000000krVeUAI,G01,G01,Active,Hoistway Equipment,HOISTWAY - FINAL LIMIT
a2I8H000000krW0UAI,F08,F08,Active,,HOISTWAY DOORS - MOTOR
a2I8H000000krW1UAI,F06,F06,Active,Hoistway Doors,HOISTWAY DOORS - GIB
a2I8H000000krW2UAI,F07,F07,Active,Hoistway Doors,HOISTWAY DOORS - FREIGHT OPERATOR/MOTOR
a2I8H000000krW3UAI,E72,E72,Active,Car Equipment,CAR - STEADYING DEVICE
a2I8H000000krW4UAI,F09,F09,Active,Hoistway Doors,HOISTWAY DOORS - RETIRING CAM
a2I8H000000krW5UAI,F10,F10,Active,Hoistway Doors,HOISTWAY DOORS - CHAIN
a2I8H000000krW6UAI,F11,F11,Active,,HOISTWAY DOORS - DOOR OFF TRACK
a2I8H000000krW7UAI,F12,F12,Active,Hoistway Doors,HOISTWAY DOORS - DOOR/HARDWARE/ FASCIA
a2I8H000000krW8UAI,F13,F13,Active,Hoistway Doors,HOISTWAY DOORS - SILL
a2I8H000000krW9UAI,F14,F14,Active,Hoistway Doors,HOISTWAY DOORS - SIGHT GUARD/ASTRAGAL
a2I8H000000krWAUAY,F15,F15,Active,Hoistway Doors,HOISTWAY DOORS - ROLLER/UPTHRUST
a2I8H000000krWBUAY,F16,F16,Active,Hoistway Doors,HOISTWAY DOORS - SPIRATOR
a2I8H000000krWCUAY,F17,F17,Active,Hoistway Doors,HOISTWAY DOORS - TRACK
a2I8H000000krWrUAI,037,037,Active,,BYPASS FAULT WEST LANE
a2I8H000000krX2UAI,065,065,Active,,MASTER VEHICLE TRAIN LINE SIGNAL LOSS EAST LANE
a2I8H000000krX3UAI,066,066,Active,,MASTER VEHICLE CROSS CHECK FAULT EAST LANE
a2I8H000000krX4UAI,067,067,Active,,MASTER VEHICLE BUMPER SWITCH ACTIVATED EAST LANE
a2I8H000000krX5UAI,068,068,Active,,MASTER VEHICLE LEFT # 1 EMERGENCY ACCESS DOOR OPEN
a2I8H000000krX6UAI,069,069,Active,,MASTER VEHICLE LEFT # 2 EMERGENCY ACCESS DOOR OPEN
a2I8H000000krX7UAI,070,070,Active,,MASTER VEHICLE LEFT # 3 EMERGENCY ACCESS DOOR OPEN
a2I8H000000krX8UAI,071,071,Active,,MASTER VEHICLE SAFE TO OPERATE SELF TEST EAST LANE
a2I8H000000krX9UAI,072,072,Active,,MASTER VEHICLE DOOR ENABLE SELF TEST EAST LANE
a2I8H000000krXAUAY,073,073,Active,,MASTER VEHICLE LEFT # 1 DOOR NOT LOCKED EAST LANE
a2I8H000000krXBUAY,074,074,Active,,MASTER VEHICLE LEFT # 2 DOOR NOT LOCKED EAST LANE
a2I8H000000krXCUAY,075,075,Active,,MASTER VEHICLE LEFT # 3 DOOR NOT LOCKED EAST LANE
a2I8H000000krXDUAY,076,076,Active,,MASTER VEHICLE RIGHT # 1 DOOR NOT LOCKED EAST LANE
a2I8H000000krXEUAY,034,034,Active,,CROSSCHECK FAULT WEST LANE
a2I8H000000krXFUAY,077,077,Active,,MASTER VEHICLE RIGHT # 2 DOOR NOT LOCKED EAST LANE
a2I8H000000krXGUAY,078,078,Active,,MASTER VEHICLE RIGHT # 3 DOOR NOT LOCKED EAST LANE
a2I8H000000krXHUAY,079,079,Active,,MASTER VEHICLE AFT E-STOP PUSHBUTTON ACTIVATED EAS
a2I8H000000krXJUAY,080,080,Active,,MASTER VEHICLE FWD E-STOP PUSHBUTTON ACTIVATED EAS
a2I8H000000krXKUAY,081,081,Active,,MASTER VEHICLE PHASE LOSS EAST LANE
a2I8H000000krXLUAY,082,082,Active,,FWD SLAVE VEHICLE SUSPENSION LOSS EAST LANE
a2I8H000000krXMUAY,083,083,Active,,FWD SLAVE VEHICLE TRAIN LINE SIGNAL LOSS EAST LANE
a2I8H000000krYOUAY,G31,G31,Active,,HOISTWAY - HOISTING TAPE
a2I8H000000krYPUAY,G32,G32,Active,Hoistway Equipment,HOISTWAY - TILLER ROPES
a2I8H000000krYQUAY,G33,G33,Active,Hoistway Equipment,EARTHQUAKE PROTECTION
a2I8H000000krYRUAY,G34,G34,Active,Hoistway Equipment,ROPE SHORTEN / TENSION
a2I8H000000krYSUAY,G35,G35,Active,Hoistway Equipment,SHEAVE BEARING
a2I8H000000krZ4UAI,L03,L03,Active,Selector / PPT,SELECTOR - FLOOR STOPS / PIE PLATES
